1.600000000000000000e+01,7.984853552340522853e-01
8.100000000000000000e+01,1.909759478725195914e-01
2.560000000000000000e+02,4.984853552340520189e-01
6.250000000000000000e+02,1.675743361393021713e-01
1.296000000000000000e+03,2.748785574840734158e-01
2.401000000000000000e+03,1.263396479618547064e-01
4.096000000000000000e+03,1.638041955935024552e-01
6.561000000000000000e+03,9.270657627766598630e-02
1.000000000000000000e+04,1.061180251779698658e-01
1.464100000000000000e+04,6.910582175131951832e-02
2.073600000000000000e+04,7.342800058018683629e-02
2.856100000000000000e+04,5.275478407429534666e-02
3.841600000000000000e+04,5.340971616648360065e-02
5.062500000000000000e+04,4.089355646520520526e-02
6.553600000000000000e+04,4.036002956135598119e-02
8.352100000000000000e+04,3.252587803912676545e-02
1.049760000000000000e+05,3.141768487819318612e-02
1.303210000000000000e+05,2.631265516774417001e-02
1.600000000000000000e+05,2.503844924279918782e-02
1.944810000000000000e+05,2.188915089375098599e-02
2.342560000000000000e+05,2.033560432554071262e-02
2.798410000000000000e+05,1.855099728911857593e-02
3.317760000000000000e+05,1.692540534939201979e-02
3.906250000000000000e+05,1.572083537723145685e-02
4.569760000000000000e+05,1.434223570608905707e-02
5.314410000000000000e+05,1.347491208538087459e-02
6.146560000000000000e+05,1.215429584694571741e-02
7.072810000000000000e+05,1.171801136575589819e-02
8.100000000000000000e+05,1.072547204032625601e-02
9.235210000000000000e+05,1.032444952204469857e-02
1.048576000000000000e+06,9.478054638397570564e-03
1.185921000000000000e+06,9.122919985687705235e-03
1.336336000000000000e+06,8.378652506240036324e-03
1.500625000000000000e+06,8.056522162794510500e-03
1.679616000000000000e+06,7.401857412797974156e-03
1.874161000000000000e+06,7.103879030314952381e-03
2.085136000000000000e+06,6.558789496612704717e-03
2.313441000000000000e+06,6.247857277302037993e-03
2.560000000000000000e+06,5.912668002387322375e-03
2.825761000000000000e+06,5.668506053140176526e-03
3.111696000000000000e+06,5.437659290115859356e-03
3.418801000000000000e+06,5.216210848866031924e-03
3.748096000000000000e+06,4.954773449873051128e-03
4.100625000000000000e+06,4.759311205943306256e-03
4.477456000000000000e+06,4.471325393650693591e-03
4.879681000000000000e+06,4.303521192930093164e-03
5.308416000000000000e+06,4.051807405065832590e-03
5.764801000000000000e+06,3.895709427724880491e-03
6.250000000000000000e+06,3.761552054555750146e-03
